행정구역별(읍면동),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
행정구역별(읍면동),총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
　　　중구,"231,959","113,814","118,145","229,936","113,104","116,832","2,023",710,"1,313","98,346","97,687",81,578,"82,051","17,988","51,780","2,471","8,355","1,457","1,330"
　　　서구,"478,629","235,043","243,586","474,200","233,293","240,907","4,429","1,750","2,679","204,879","203,296",102,"1,481","153,397","20,196","122,782","2,488","6,938",993,"4,186"
　　　유성구,"368,895","188,856","180,039","360,991","184,871","176,120","7,904","3,985","3,919","156,839","154,100",121,"2,618","119,063","11,309","101,693","1,606","3,580",875,"5,415"
　　　대덕구,"176,393","89,452","86,941","173,352","87,982","85,370","3,041","1,470","1,571","74,306","73,457",49,800,"63,102","10,753","41,219","1,602","8,729",799,"1,102"
울산광역시,"1,135,423","585,978","549,445","1,108,528","570,131","538,397","26,895","15,847","11,048","452,995","444,087",235,"8,673","394,634","65,747","289,432","7,996","24,781","6,678","12,763"
　　　읍부,"190,747","99,367","91,380","183,302","94,780","88,522","7,445","4,587","2,858","75,217","72,478",40,"2,699","68,156","11,632","50,651","1,207","3,590","1,076","1,763"
　　　면부,"34,303","18,372","15,931","32,152","16,519","15,633","2,151","1,853",298,"14,796","14,358",46,392,"15,024","10,169","3,272",731,459,393,"1,068"
　　　동부,"910,373","468,239","442,134","893,074","458,832","434,242","17,299","9,407","7,892","362,982","357,251",149,"5,582","311,454","43,946","235,509","6,058","20,732","5,209","9,932"
　　　중구,"214,147","108,242","105,905","211,294","107,065","104,229","2,853","1,177","1,676","87,519","86,488",29,"1,002","70,794","14,841","45,763","1,892","6,934","1,364","2,325"
　　　남구,"320,175","163,148","157,027","313,527","159,693","153,834","6,648","3,455","3,193","132,915","130,469",70,"2,376","110,405","13,856","83,718","2,288","8,205","2,338","5,695"
　　　동구,"159,000","84,211","74,789","154,482","81,326","73,156","4,518","2,885","1,633","62,485","61,081",23,"1,381","53,662","7,866","39,779","1,391","3,782",844,"1,011"
　　　북구,"217,051","112,638","104,413","213,771","110,748","103,023","3,280","1,890","1,390","80,063","79,213",27,823,"76,593","7,383","66,249",487,"1,811",663,901
　　　울주군,"225,050","117,739","107,311","215,454","111,299","104,155","9,596","6,440","3,156","90,013","86,836",86,"3,091","83,180","21,801","53,923","1,938","4,049","1,469","2,831"
세종특별자치시,"353,933","177,939","175,994","346,689","173,541","173,148","7,244","4,398","2,846","141,133","139,106",120,"1,907","136,887","16,178","117,312","1,142","1,547",708,"3,376"
　　　읍부,"48,736","25,411","23,325","46,737","24,367","22,370","1,999","1,044",955,"22,514","21,684",31,799,"16,670","2,914","11,760",739,890,367,368
　　　면부,"52,383","29,029","23,354","48,927","26,496","22,431","3,456","2,533",923,"25,331","24,472",81,778,"18,708","12,749","4,751",216,651,341,"1,199"
　　　동부,"252,814","123,499","129,315","251,025","122,678","128,347","1,789",821,968,"93,288","92,950",8,330,"101,509",515,"100,801",187,6,X,"1,809"
　　　세종시,"353,933","177,939","175,994","346,689","173,541","173,148","7,244","4,398","2,846","141,133","139,106",120,"1,907","136,887","16,178","117,312","1,142","1,547",708,"3,376"
경기도,"13,511,676","6,828,367","6,683,309","12,928,214","6,489,718","6,438,496","583,462","338,649","244,813","5,294,836","5,098,431","4,080","192,325","4,495,115","505,382","3,146,667","130,354","677,652","35,060","298,634"
　　　읍부,"1,488,992","774,958","714,034","1,405,270","720,626","684,644","83,722","54,332","29,390","580,183","556,629",632,"22,922","538,176","83,897","332,697","24,238","91,815","5,529","24,359"
　　　면부,"810,588","447,488","363,100","721,331","379,102","342,229","89,257","68,386","20,871","327,534","306,135","1,107","20,292","279,513","164,344","62,468","9,199","36,898","6,604","30,036"
　　　동부,"11,212,096","5,605,921","5,606,175","10,801,613","5,389,990","5,411,623","410,483","215,931","194,552","4,387,119","4,235,667","2,341","149,111","3,677,426","257,141","2,751,502","96,917","548,939","22,927","244,239"
　　　수원시,"1,210,150","609,616","600,534","1,154,820","581,043","573,777","55,330","28,573","26,757","488,201","466,089",258,"21,854","372,228","31,396","272,352","8,721","57,249","2,510","23,335"
　　　장안구,"278,507","140,771","137,736","268,549","135,646","132,903","9,958","5,125","4,833","108,181","104,418",82,"3,681","85,399","8,538","55,266","1,738","19,134",723,"1,292"
　　　권선구,"373,381","188,046","185,335","358,009","180,309","177,700","15,372","7,737","7,635","149,210","143,231",50,"5,929","118,970","9,820","84,884","2,353","21,070",843,"3,997"
　　　팔달구,"187,922","95,112","92,810","167,566","84,182","83,384","20,356","10,930","9,426","84,883","76,086",70,"8,727","58,005","8,918","31,810","1,999","14,573",705,"6,144"
　　　영통구,"370,340","185,687","184,653","360,696","180,906","179,790","9,644","4,781","4,863","145,927","142,354",56,"3,517","109,854","4,120","100,392","2,631","2,472",239,"11,902"
　　　성남시,"922,025","455,702","466,323","896,611","443,432","453,179","25,414","12,270","13,144","379,640","369,585",126,"9,929","262,573","33,228","183,364","10,835","33,550","1,596","32,696"
　　　수정구,"249,044","125,587","123,457","233,811","117,966","115,845","15,233","7,621","7,612","111,225","104,775",37,"6,413","64,003","17,980","32,932","1,006","11,490",595,"4,039"
　　　중원구,"211,880","106,618","105,262","207,373","104,603","102,770","4,507","2,015","2,492","91,539","89,721",50,"1,768","59,742","9,938","27,933",967,"20,145",759,"5,789"
　　　분당구,"461,101","223,497","237,604","455,427","220,863","234,564","5,674","2,634","3,040","176,876","175,089",39,"1,748","138,828","5,310","122,499","8,862","1,915",242,"22,868"
　　　의정부시,"449,572","221,225","228,347","442,884","218,202","224,682","6,688","3,023","3,665","180,351","178,067",100,"2,184","157,778","12,544","119,925","2,890","21,329","1,090","6,410"
　　　안양시,"542,336","267,405","274,931","531,584","262,254","269,330","10,752","5,151","5,601","207,634","203,441",84,"4,109","178,613","9,400","131,020","3,470","33,494","1,229","11,060"
　　　만안구,"240,986","119,998","120,988","232,745","115,942","116,803","8,241","4,056","4,185","95,798","92,486",62,"3,250","77,113","6,568","46,176","2,194","21,425",750,"4,139"
　　　동안구,"301,350","147,407","153,943","298,839","146,312","152,527","2,511","1,095","1,416","111,836","110,955",22,859,"101,500","2,832","84,844","1,276","12,069",479,"6,921"
